recording_id,lat,lon,ndvi_raw,naturalness_raw,nightlights_raw,hfi_raw,road_impact_raw,ndvi_norm,naturalness_norm,nightlights_norm,hfi_norm,road_impact_norm,raw_hqi,hqi
1106174,47.123,16.4243,0.6856530912536649,0.9243594317023226,0.25708449766331404,0.37222780704090386,11248.189842344473,0.7795627577078129,0.9177596680623792,0.0006853824615038086,0.33036442334967453,0.10639011841707263,0.4029779924914795,0.8528911810944868
1106173,47.123,16.4243,0.6856530912536649,0.9243594317023226,0.25708449766331404,0.37222780704090386,11248.189842344473,0.7795627577078129,0.9177596680623792,0.0006853824615038086,0.33036442334967453,0.10639011841707263,0.4029779924914795,0.8528911810944868
1100198,46.6031,0.1818,0.7217504927708885,0.9022132624263026,0.3154793945219926,0.47791288371016133,9209.420431310758,0.8206041972226569,0.8936237666774308,0.0008410621641386883,0.45413252200686954,0.08710657838928693,0.3925884522633679,0.8387924602965953
1092231,47.8103,-2.3838,0.642644967721452,0.5939114624657854,1.182654549874443,0.6928910675828159,39385.10592511752,0.7306640772930457,0.5576224588256737,0.0031529349061069152,0.7058940943049488,0.37252092487521854,0.2148380442798466,0.5975831941646634
1091980,49.0315,12.2836,0.6760351661412849,0.9975963200965706,0.4815015584693672,0.4370199102418121,0.0,0.7686275248332334,0.9975765562109787,0.001283674147454235,0.40624264262062537,0.0,0.41878926528013005,0.8743472528370381
1084417,48.0228,0.1995,0.5115217707509881,0.4280829001128335,14.001067288850482,0.895838595770105,55259.8441147243,0.5815817463976066,0.3768949579258926,0.03732658347482366,0.9435665309681369,0.5226708867361279,0.06743087838695708,0.39755004256195037
1052236,45.2635,1.9197,0.8463480793765256,0.9079199534087427,0.44640204550320245,0.2444504537511778,1677.7929160957833,0.9622671452310011,0.8998431777669906,0.0011900995024912387,0.18072399570812084,0.015869272258437535,0.48470739152848796,0.9637988779417889
1047739,46.6068,0.1852,0.8346888875351963,0.7691778612400455,0.6495607820928279,0.5426388465009617,2762.9070410535332,0.9490110659389901,0.7486357426214891,0.0017317168937590558,0.5299332840524349,0.026132738813357516,0.3894126455691165,0.8344828555491999
1046158,46.6073,0.1863,0.8251871026696265,0.7510362221137702,0.6538834593655978,0.5547594198292787,4627.152690891058,0.9382078803230594,0.7288641601208883,0.0017432410705041572,0.5441277224987976,0.043765559580488805,0.3773340415801705,0.8180920565793207
996274,51.9363,5.9001,0.5342121835673679,0.5697045320818268,8.963469317593152,0.777006962536273,34753.744785015195,0.6073799248267645,0.5312406463642214,0.02389644152153995,0.8044024619320891,0.3287155600090603,0.15671292544405724,0.5187067661594357
994505,48.9512,2.4064,0.6448208122024425,0.7098592057645706,24.438422459396104,0.8393325973716729,23256.867510031167,0.7331379337455016,0.6839875770177857,0.06515237710842742,0.877392192973501,0.219973251081497,0.22430164490223656,0.6104254046945206
994504,48.9512,2.4064,0.6448208122024425,0.7098592057645706,24.438422459396104,0.8393325973716729,23256.867510031167,0.7331379337455016,0.6839875770177857,0.06515237710842742,0.877392192973501,0.219973251081497,0.22430164490223656,0.6104254046945206
990694,53.2024,5.7515,0.6677895289564356,0.5913060844801964,5.5833266988622405,0.751950163830508,19587.920560204264,0.7592525336826413,0.554782999533778,0.014885044532158925,0.7750583725678551,0.18527080509426938,0.2287086646871999,0.6164057791995313
989898,50.1648,1.721,0.60940190702215,0.5597571922113195,0.5547296798755884,0.6171726546127564,0.0,0.6928679200176335,0.5203995834623363,0.0014788989492484882,0.6172200420925175,0.0,0.24508148576714683,0.6386238781732876
985820,53.0228,5.917,0.5597911093468574,0.7315189544498402,0.6389410618480168,0.48271297646018685,0.0,0.6364622379880788,0.7075933551446827,0.0017034049182489545,0.4597539244959653,0.0,0.29853324052454966,0.7111584995266879
985810,53.0232,5.9177,0.5637310327658968,0.7300560196116952,0.6402523682397955,0.48251357758516955,0.0,0.6409417883684149,0.7059989822964491,0.0017069008365588948,0.4595204078972831,0.0,0.29951284073273243,0.7124878278247154
983564,46.7666,6.1831,0.7006553640829103,0.9752863534753937,0.29502056656809794,0.36525159130493795,0.0,0.7966197991298354,0.9732621410379096,0.0007865193115358562,0.32219455694398486,0.0,0.43381498759452314,0.8947373239129534
983069,52.9638,6.1637,0.6841632100991882,0.7691722103150465,0.4411187291497477,0.5040399749890633,4541.267527813122,0.7778688167393312,0.7486295839867018,0.001176014279927658,0.48473003409604154,0.0429532215244815,0.34327801089563487,0.771877646936194
926836,46.576,0.3222,0.5850491481581799,0.430151466784798,6.600233761256172,0.7767915311111953,68940.0323728637,0.6651797142763334,0.3791493758606813,0.01759609973727259,0.8041501695677061,0.6520638707762995,0.10499312578782995,0.44852242700041856
906512,49.3924,0.5392,0.6328638984354965,0.40721812428496684,1.124477367440369,0.6835537377038813,11629.438381422724,0.7195433553956952,0.35415557733487846,0.0029978356260552588,0.6949591203041501,0.10999612772055865,0.18855885300953878,0.5619220414688043
905527,49.3549,0.5087,0.5939668052988295,0.4782345610213435,16.495281021372726,0.7557626854876679,53340.33270629257,0.6753187678028719,0.4315525163908618,0.043976110626598876,0.7795232276965769,0.5045153391406217,0.13430851924470846,0.48830373958541157
905525,49.3549,0.5087,0.5939668052988295,0.4782345610213435,16.495281021372726,0.7557626854876679,53340.33270629257,0.6753187678028719,0.4315525163908618,0.043976110626598876,0.7795232276965769,0.5045153391406217,0.13430851924470846,0.48830373958541157
899081,43.178,0.3973,0.8048508332375586,0.8027977333241109,0.4190696054577911,0.43271360598780506,6756.666788193759,0.9150862777485487,0.7852762065808349,0.001117231728636734,0.401199517265985,0.06390740108195105,0.40405082092595307,0.854347021124901
881427,52.0747,4.7632,0.6026550071842559,0.44611627256892256,15.260066753894643,0.7405064165917392,52904.670388113664,0.6851969390059527,0.3965485464907332,0.04068305249659261,0.7616565671106053,0.5003946613897519,0.13227165661958457,0.485539694514622
880732,46.8447,-2.0855,0.6800345303569499,0.6050502250091129,0.5352785467161936,0.477991695137212,9193.990203948879,0.7731746572487544,0.5697619882831323,0.0014270425921168975,0.45422481829680883,0.08696063279810809,0.29727769970265383,0.7094547167692595
870733,50.4357,5.7941,0.6757543450976454,0.9575645844747652,0.8409905330317691,0.4574649382591248,2160.107964915068,0.7683082414667692,0.9539481520750802,0.0022420650286956853,0.4301858740062156,0.020431211190606598,0.4019600952330687,0.8515098832764716
843489,51.9363,5.9001,0.5085841492152956,0.5697045320818268,6.249800288944188,0.777006962536273,34753.744785015195,0.5782417769951802,0.5312406463642214,0.016661850655629938,0.8044024619320891,0.3287155600090603,0.14941839926776407,0.5088080136011465
843484,51.9363,5.9001,0.5085841492152956,0.5697045320818268,6.249800288944188,0.777006962536273,34753.744785015195,0.5782417769951802,0.5312406463642214,0.016661850655629938,0.8044024619320891,0.3287155600090603,0.14941839926776407,0.5088080136011465
843474,51.9363,5.9001,0.5961028278509304,0.5697045320818268,6.250596898672295,0.777006962536273,34753.744785015195,0.6777473481629448,0.5312406463642214,0.016663974402262933,0.8044024619320891,0.3287155600090603,0.1792696458687668,0.5493164848189381
842245,47.9984,10.9503,0.7145885121715445,0.6269978137015825,0.7012674524100008,0.5745737906800558,6546.235183183647,0.8124612844029013,0.5936814675265445,0.0018695659095505942,0.567332389454417,0.06191705030644758,0.3004932755717891,0.713818288726054
842243,47.9984,10.9503,0.7145885121715445,0.6269978137015825,0.7012674524100008,0.5745737906800558,6546.235183183647,0.8124612844029013,0.5936814675265445,0.0018695659095505942,0.567332389454417,0.06191705030644758,0.3004932755717891,0.713818288726054
841519,47.0661,0.3026,0.7008684826364663,0.6483315874299025,0.6776495841780164,0.49253708622143016,5634.887516676562,0.7968621072145624,0.6169319833362056,0.0018066011146623802,0.4712589678234531,0.053297140123761466,0.31691174858959353,0.7360983378835144
804299,47.4593,4.4201,0.7655734854137796,0.666156748782599,0.6384465077761883,0.4732850225926674,0.0,0.8704293543341595,0.6363586539814683,0.0017020864463450575,0.44871282048028305,0.0,0.3525711294343034,0.7844885113961904
801873,47.7976,-0.7484,0.7451481052185881,0.7773450649701175,0.8967075774188372,0.5857075554432264,5621.946801843384,0.8472064360460202,0.7575367322853425,0.0023906056267357007,0.5803711735388207,0.05317474139091643,0.3506948425898798,0.7819423694326887
801249,43.3807,-0.6077,0.5681603781151533,0.4766227997804025,12.71983868773385,0.8036546906924139,28263.35455194698,0.6459777937760376,0.42979594576762736,0.03391085199212482,0.8356096933725405,0.2673267147684101,0.14238602869357103,0.4992650090893022
799282,47.4205,4.4503,0.7957866674671791,0.5234015388677671,0.43800554401638564,0.5420529197590517,5447.5246975614455,0.9047806492107148,0.480777540798936,0.0011677145866003102,0.5292471035519887,0.051524983644185285,0.30685547314841155,0.7224518610809806
798517,49.4238,8.7064,0.7336508768781084,0.9776182759303788,4.24354354854774,0.5951292072274309,11389.154720056802,0.8341345033946075,0.9758035760693762,0.011313207716675532,0.5914048971665236,0.10772342361930214,0.3924455265554824,0.8385985085329872
798050,51.1403,4.9922,0.6080060402242005,0.6853788999651587,4.590275460559607,0.7252359420849787,13246.790705292202,0.6912808699710674,0.6573078276090351,0.012237588507802972,0.7437732702927425,0.12529372739395966,0.24516833690871104,0.6387417361312921
798049,51.1403,4.9922,0.6080060402242005,0.6853788999651587,4.590275460559607,0.7252359420849787,13246.790705292202,0.6912808699710674,0.6573078276090351,0.012237588507802972,0.7437732702927425,0.12529372739395966,0.24516833690871104,0.6387417361312921
798048,51.1403,4.9922,0.6136818706726013,0.6853788999651587,4.590275460559607,0.7252359420849787,13246.790705292202,0.6977340838383704,0.6573078276090351,0.012237588507802972,0.7437732702927425,0.12529372739395966,0.24710430106890197,0.6413688608711727
795784,43.3996,3.6759,0.4187397928739458,0.45823120326320405,24.35186693839291,0.7690491249806901,60563.17868702806,0.47609199441943995,0.40975194834674983,0.06492162170862262,0.7950830153771167,0.5728320594279955,0.05573560282142783,0.3816794244948821
