recording_id,lat,lng,country,quality,month,hqi,bout_count,bouts_per_minute,mean_min_frequency_hz,std_min_frequency_hz,min_min_frequency_hz,max_min_frequency_hz,mean_peak_frequency_hz,std_peak_frequency_hz,min_peak_frequency_hz,max_peak_frequency_hz,mean_spectral_entropy,std_spectral_entropy,min_spectral_entropy,max_spectral_entropy,mean_temporal_entropy,std_temporal_entropy,min_temporal_entropy,max_temporal_entropy,mean_harmonicity_hnr_db,std_harmonicity_hnr_db,min_harmonicity_hnr_db,max_harmonicity_hnr_db,mean_bout_duration_s,std_bout_duration_s,min_bout_duration_s,max_bout_duration_s,mean_syllable_rate_per_s,std_syllable_rate_per_s,min_syllable_rate_per_s,max_syllable_rate_per_s,mean_modulation_index,std_modulation_index,min_modulation_index,max_modulation_index
1001965,47.8623,2.0383,France,B,5,0.7220564455960242,3,7.199999999999999,1499.452953119531,23.556004741303102,1482.796342429293,1532.7661745000066,4640.625,19.136638615493577,4617.1875,4664.0625,4.914655666666667,0.15165856677491765,4.700345,5.029138,5.502927766666667,0.03425280174976762,5.454505,5.528283,6.352261387584355,0.5534460769199347,5.754470326407082,7.088693460040653,3.0,0.0,3.0,3.0,3.6666666666666665,0.0,3.6666666666666665,3.6666666666666665,0.8668051333333334,0.07334367247574179,0.7996754,0.9688473
1002132,46.7856,1.2153,France,B,5,0.8610508351350921,15,14.754098360655739,3586.5902582631675,192.0190068299542,2877.196599772457,3750.807288950415,3798.4375,21.763106683100187,3750.0,3820.3125,2.897549086666667,0.46684417991346083,2.339798,4.325125,4.8075572399999995,0.19318803153587208,4.327583,5.0566473,21.21032167001308,3.199660654719053,13.706343105609736,25.85713477576108,3.0,0.0,3.0,3.0,2.6888888888888887,0.704132423011327,1.0,4.0,1.7989036066666666,0.3122488192259574,1.4444969,2.7618415
1002199,49.3549,0.5087,France,B,5,0.5040517444181981,14,15.555555555555555,2969.588591560686,1014.3545035415142,1693.0083986477366,3877.208470957242,4632.254464285715,126.40340411392413,4195.3125,4734.375,3.682996821428571,0.30400628512449757,3.250959,4.2503448,5.107260807142858,0.17915159189694424,4.6919656,5.338546,14.418047146274448,1.958960957280314,10.22519552148443,17.366601465014767,3.0,0.0,3.0,3.0,2.833333333333333,0.8237544710479141,1.6666666666666667,4.666666666666667,1.3498704357142854,0.21921807139550598,1.0344365,1.8277549
1007924,46.3727,5.9741,France,B,6,0.825062517144231,12,12.631578947368421,3525.2104070761957,603.3786056228446,1532.7661745000066,3750.807288950415,4066.40625,326.0958463037555,3796.875,4593.75,3.764088208333334,0.3103876968714462,3.3371854,4.286623,5.1587842,0.15470818151987528,4.8144445,5.346349,15.186749952037486,1.7764940489335053,12.359085391182036,18.40292970394486,3.0,0.0,3.0,3.0,2.7777777777777772,0.9938079899999065,1.0,4.333333333333333,1.3189495166666665,0.25537979881757755,1.0332372,1.8078766
101009,52.131,4.329,Netherlands,A,5,0.7553842470060785,16,6.114649681528662,3319.6848503166993,51.31388431870814,3285.0890365665714,3395.79564056698,4360.83984375,950.1033475777733,3539.0625,5625.0,3.535457075,0.21145135347429644,2.935957,4.024984,4.6649717875,0.2682916546456437,4.098751,5.0781646,18.834566444052825,1.1215859358922147,16.838260980808666,21.274867384898673,3.0,0.0,3.0,3.0,2.208333333333333,0.9195031871130795,0.6666666666666666,3.6666666666666665,1.97219195,0.4302499987120715,1.3393428,2.765648
101022,48.3045,10.9389,Germany,B,6,0.8476483312695523,14,11.666666666666668,2960.3058056565887,33.929191224005905,2877.196599772457,2974.1573399706103,4021.2053571428573,276.99265017785405,3023.4375,4125.0,2.401723671428571,0.30470081887970607,1.8118635,2.893558,5.010112435714285,0.1632068899586594,4.716495,5.26812,18.883774579448726,3.0404839542041873,13.85706043063914,25.634493567725432,3.0,0.0,3.0,3.0,2.619047619047619,0.48562090605645575,1.6666666666666667,3.3333333333333335,1.5157096285714289,0.2993643408505224,1.0510312,2.150148
101346,48.3212,10.9414,Germany,A,5,0.8365946023307882,13,12.580645161290322,4289.1053253319005,363.3755204973406,3285.0890365665714,4576.0542134267835,4600.961538461538,23.22854337750924,4570.3125,4640.625,2.9099594076923077,0.44381774563363885,2.0606284,3.7545962,4.944337061538461,0.16005175531948096,4.715342,5.310963,19.97338717751863,1.6563719612033942,16.391009048102845,22.360289468358367,3.0,0.0,3.0,3.0,2.974358974358974,0.9195087731815953,1.6666666666666667,4.666666666666667,1.6512971307692308,0.2826363257147421,1.0503039,2.1011457
101347,48.3212,10.9414,Germany,B,5,0.8365946023307882,11,16.097560975609756,3327.678436015807,510.6539669103515,2358.322142798309,3877.208470957242,3848.0113636363635,320.39673982984755,2835.9375,3960.9375,3.654136581818183,0.4261557249421429,2.8700368,4.1816115,4.846338845454546,0.2596037964818323,4.172137,5.174644,15.6518428882722,2.670459772573485,12.649628437255757,21.3777803086436,3.0,0.0,3.0,3.0,1.6060606060606057,0.508874412840808,1.0,2.6666666666666665,2.027473945454546,0.4513575718609448,1.3097131,3.0603948
1018156,50.1665,8.6684,Germany,C,6,0.55667153389705,5,10.344827586206897,2896.5887478120876,38.78429607926137,2877.196599772457,2974.1573399706103,4045.3125,18.75,4031.25,4078.125,3.0195761399999994,0.28459018677830483,2.6671603,3.507315,5.10551566,0.1311825378266422,4.949178,5.2513404,14.117655299809996,0.7949637680951366,13.101089139105866,14.928806328178924,3.0,0.0,3.0,3.0,2.8666666666666667,0.49888765156985876,2.3333333333333335,3.6666666666666665,1.36451682,0.17716046616029665,1.1745111,1.5912336
1024960,47.6375,9.5775,Germany,C,4,0.7914545089737471,18,13.012048192771084,3512.4489583550417,129.08592608725985,3395.79564056698,4007.86933830162,3985.6770833333335,347.41232860013486,3562.5,4382.8125,3.51524265,0.4493937325342076,2.8435307,4.666702,4.6527642277777765,0.19882463304782147,4.283628,5.08084,20.970410267807303,3.434872085119874,15.079660623288463,26.835703959384485,3.0,0.0,3.0,3.0,1.6481481481481481,0.49030378869902697,0.3333333333333333,2.3333333333333335,2.1060162777777776,0.3124019981696688,1.5275433,2.6058376
