segment_id,recording_id,min_frequency_hz,peak_frequency_hz,spectral_entropy,temporal_entropy,harmonicity_hnr_db,bout_duration_s,syllable_rate_per_s,modulation_index
406508_seg_36000,406508,3628.5269219403576,4640.625,2.9451492,4.811731,21.578874069175896,3.0,2.6666666666666665,1.5994902
406508_seg_39000,406508,3395.79564056698,4640.625,2.8863494,4.6551332,20.462274864331924,3.0,2.0,1.8287069
406508_seg_51000,406508,3628.5269219403576,4640.625,2.980262,5.0203924,20.881524110915212,3.0,3.3333333333333335,1.4124981
406508_seg_54000,406508,3395.79564056698,4640.625,2.903782,4.657401,20.51785832778107,3.0,2.0,1.8358384
406508_seg_57000,406508,3395.79564056698,4687.5,2.7296534,4.31135,22.44300392904402,3.0,1.3333333333333333,2.3918326
406508_seg_60000,406508,3395.79564056698,4664.0625,2.9194238,4.84286,20.95908846835929,3.0,2.6666666666666665,1.5783314
406495_seg_0,406495,3285.0890365665714,4757.8125,3.4609962,4.82739,16.915742919184474,3.0,2.0,1.5436771
406495_seg_3000,406495,3285.0890365665714,4757.8125,3.4844904,4.643039,17.67319600464255,3.0,1.3333333333333333,1.9198762
406495_seg_6000,406495,3285.0890365665714,3539.0625,3.3204317,4.8904905,18.768506924485248,3.0,2.0,1.5219928
406495_seg_12000,406495,3285.0890365665714,3562.5,3.3276553,4.964813,18.73228880345781,3.0,2.3333333333333335,1.4593217
406495_seg_15000,406495,3285.0890365665714,3515.625,3.3827722,4.458969,17.25808498612806,3.0,1.0,2.0919297
406495_seg_18000,406495,3285.0890365665714,3585.9375,3.2904286,5.0685654,18.47225684629,3.0,2.6666666666666665,1.2709383
406495_seg_24000,406495,3177.9915873759783,3585.9375,3.5689628,5.053097,17.934542224221758,3.0,2.6666666666666665,1.3340318
406495_seg_27000,406495,3177.9915873759783,3539.0625,3.5135229,5.000495,16.978140371812806,3.0,2.3333333333333335,1.3840115
406495_seg_30000,406495,3285.0890365665714,3632.8125,3.3955836,4.6113825,18.224574044340255,3.0,1.3333333333333333,1.9494044
