segment_id,recording_id
1106174_seg_3000,1106174
1106174_seg_6000,1106174
1106174_seg_12000,1106174
1106174_seg_15000,1106174
1106174_seg_21000,1106174
1106174_seg_30000,1106174
1106174_seg_39000,1106174
1106174_seg_42000,1106174
1106174_seg_48000,1106174
1106174_seg_51000,1106174
1106174_seg_57000,1106174
1106174_seg_60000,1106174
1106174_seg_66000,1106174
1106174_seg_69000,1106174
1106173_seg_0,1106173
1106173_seg_3000,1106173
1106173_seg_9000,1106173
1106173_seg_15000,1106173
1106173_seg_18000,1106173
1106173_seg_24000,1106173
1106173_seg_27000,1106173
1106173_seg_33000,1106173
1106173_seg_36000,1106173
1106173_seg_48000,1106173
1106173_seg_51000,1106173
1106173_seg_57000,1106173
1106173_seg_60000,1106173
1100198_seg_0,1100198
1100198_seg_6000,1100198
1100198_seg_9000,1100198
1100198_seg_18000,1100198
1100198_seg_24000,1100198
1092231_seg_0,1092231
1092231_seg_9000,1092231
1092231_seg_15000,1092231
1092231_seg_24000,1092231
1092231_seg_30000,1092231
1092231_seg_39000,1092231
1091980_seg_3000,1091980
1091980_seg_6000,1091980
1091980_seg_9000,1091980
1091980_seg_12000,1091980
1091980_seg_15000,1091980
1091980_seg_18000,1091980
1091980_seg_21000,1091980
1091980_seg_24000,1091980
1091980_seg_27000,1091980
1091980_seg_30000,1091980
1091980_seg_39000,1091980
1091980_seg_42000,1091980
1091980_seg_45000,1091980
1091980_seg_48000,1091980
1091980_seg_51000,1091980
1091980_seg_54000,1091980
1091980_seg_60000,1091980
1091980_seg_66000,1091980
1091980_seg_72000,1091980
1091980_seg_78000,1091980
1091980_seg_84000,1091980
1091980_seg_90000,1091980
1084417_seg_0,1084417
1084417_seg_6000,1084417
1084417_seg_9000,1084417
1084417_seg_12000,1084417
1084417_seg_21000,1084417
1084417_seg_24000,1084417
1084417_seg_27000,1084417
1084417_seg_30000,1084417
1084417_seg_36000,1084417
1084417_seg_42000,1084417
1084417_seg_45000,1084417
1084417_seg_48000,1084417
1084417_seg_51000,1084417
1084417_seg_54000,1084417
1084417_seg_57000,1084417
1084417_seg_60000,1084417
1084417_seg_63000,1084417
1084417_seg_66000,1084417
1084417_seg_69000,1084417
1052236_seg_0,1052236
1052236_seg_3000,1052236
1052236_seg_6000,1052236
1052236_seg_9000,1052236
1052236_seg_12000,1052236
1052236_seg_15000,1052236
1052236_seg_18000,1052236
1052236_seg_21000,1052236
1052236_seg_24000,1052236
1052236_seg_27000,1052236
1052236_seg_30000,1052236
1052236_seg_33000,1052236
1052236_seg_36000,1052236
1052236_seg_39000,1052236
1052236_seg_42000,1052236
1052236_seg_45000,1052236
1052236_seg_48000,1052236
1052236_seg_51000,1052236
1052236_seg_54000,1052236
1052236_seg_57000,1052236
1052236_seg_60000,1052236
1052236_seg_63000,1052236
1052236_seg_69000,1052236
1047739_seg_3000,1047739
1047739_seg_6000,1047739
1047739_seg_9000,1047739
1047739_seg_18000,1047739
1047739_seg_21000,1047739
1047739_seg_24000,1047739
1047739_seg_27000,1047739
1047739_seg_33000,1047739
1047739_seg_36000,1047739
1047739_seg_42000,1047739
1047739_seg_45000,1047739
1047739_seg_51000,1047739
1047739_seg_54000,1047739
1047739_seg_57000,1047739
1047739_seg_63000,1047739
1047739_seg_66000,1047739
1047739_seg_69000,1047739
1047739_seg_75000,1047739
1047739_seg_78000,1047739
1047739_seg_87000,1047739
1047739_seg_90000,1047739
1047739_seg_93000,1047739
1047739_seg_96000,1047739
1047739_seg_102000,1047739
1047739_seg_105000,1047739
1047739_seg_111000,1047739
1047739_seg_117000,1047739
1047739_seg_123000,1047739
1047739_seg_126000,1047739
1047739_seg_132000,1047739
1047739_seg_135000,1047739
1047739_seg_141000,1047739
1047739_seg_144000,1047739
1047739_seg_147000,1047739
1047739_seg_153000,1047739
1047739_seg_156000,1047739
1047739_seg_162000,1047739
1047739_seg_165000,1047739
1047739_seg_168000,1047739
1047739_seg_171000,1047739
1047739_seg_180000,1047739
1047739_seg_183000,1047739
1046158_seg_0,1046158
1046158_seg_3000,1046158
1046158_seg_6000,1046158
1046158_seg_9000,1046158
1046158_seg_12000,1046158
1046158_seg_21000,1046158
1046158_seg_27000,1046158
1046158_seg_33000,1046158
1046158_seg_36000,1046158
1046158_seg_42000,1046158
1046158_seg_45000,1046158
1046158_seg_48000,1046158
1046158_seg_51000,1046158
1046158_seg_57000,1046158
1046158_seg_60000,1046158
996274_seg_9000,996274
996274_seg_15000,996274
996274_seg_18000,996274
996274_seg_21000,996274
996274_seg_24000,996274
996274_seg_27000,996274
996274_seg_30000,996274
996274_seg_33000,996274
996274_seg_36000,996274
996274_seg_39000,996274
996274_seg_45000,996274
